STATE/UT,CRIME HEAD,2013
Andhra Pradesh,Arson,932
Arunachal Pradesh,Arson,23
Assam,Arson,793
Bihar,Arson,660
Chhattisgarh,Arson,328
Goa,Arson,39
Gujarat,Arson,304
Haryana,Arson,189
Himachal Pradesh,Arson,138
Jammu & Kashmir,Arson,221
Jharkhand,Arson,185
Karnataka,Arson,332
Kerala,Arson,479
Madhya Pradesh,Arson,671
Maharashtra,Arson,1197
Manipur,Arson,38
Meghalaya,Arson,127
Mizoram,Arson,27
Nagaland,Arson,9
Odisha,Arson,416
Punjab,Arson,65
Rajasthan,Arson,484
Sikkim,Arson,19
Tamil Nadu,Arson,645
Tripura,Arson,83
Uttar Pradesh,Arson,291
Uttarakhand,Arson,17
West Bengal,Arson,495
Total (State),Arson,9207
A&N Islands,Arson,2
Chandigarh,Arson,8
D&N Haveli,Arson,18
Daman & Diu,Arson,8
Delhi UT,Arson,97
Lakshadweep,Arson,1
Puducherry,Arson,16
Total (UTs),Arson,150
Total (All-India),Arson,9357
Andhra Pradesh,Assault on Women wih intent to outrage her Modesty,6930
Arunachal Pradesh,Assault on Women wih intent to outrage her Modesty,93
Assam,Assault on Women wih intent to outrage her Modesty,2409
Bihar,Assault on Women wih intent to outrage her Modesty,331
Chhattisgarh,Assault on Women wih intent to outrage her Modesty,2261
Goa,Assault on Women wih intent to outrage her Modesty,162
Gujarat,Assault on Women wih intent to outrage her Modesty,1243
Haryana,Assault on Women wih intent to outrage her Modesty,1560
Himachal Pradesh,Assault on Women wih intent to outrage her Modesty,493
Jammu & Kashmir,Assault on Women wih intent to outrage her Modesty,1389
Jharkhand,Assault on Women wih intent to outrage her Modesty,524
Karnataka,Assault on Women wih intent to outrage her Modesty,3913
Kerala,Assault on Women wih intent to outrage her Modesty,4362
Madhya Pradesh,Assault on Women wih intent to outrage her Modesty,8252
Maharashtra,Assault on Women wih intent to outrage her Modesty,8132
Manipur,Assault on Women wih intent to outrage her Modesty,59
Meghalaya,Assault on Women wih intent to outrage her Modesty,98
Mizoram,Assault on Women wih intent to outrage her Modesty,81
Nagaland,Assault on Women wih intent to outrage her Modesty,18
Odisha,Assault on Women wih intent to outrage her Modesty,4618
Punjab,Assault on Women wih intent to outrage her Modesty,1045
Rajasthan,Assault on Women wih intent to outrage her Modesty,4829
Sikkim,Assault on Women wih intent to outrage her Modesty,29
Tamil Nadu,Assault on Women wih intent to outrage her Modesty,1271
Tripura,Assault on Women wih intent to outrage her Modesty,407
Uttar Pradesh,Assault on Women wih intent to outrage her Modesty,7303
Uttarakhand,Assault on Women wih intent to outrage her Modesty,295
West Bengal,Assault on Women wih intent to outrage her Modesty,4913
Total (State),Assault on Women wih intent to outrage her Modesty,67020
A&N Islands,Assault on Women wih intent to outrage her Modesty,45
Chandigarh,Assault on Women wih intent to outrage her Modesty,143
D&N Haveli,Assault on Women wih intent to outrage her Modesty,1
Daman & Diu,Assault on Women wih intent to outrage her Modesty,2
Delhi UT,Assault on Women wih intent to outrage her Modesty,3515
Lakshadweep,Assault on Women wih intent to outrage her Modesty,1
Puducherry,Assault on Women wih intent to outrage her Modesty,12
Total (UTs),Assault on Women wih intent to outrage her Modesty,3719
Total (All-India),Assault on Women wih intent to outrage her Modesty,70739
Andhra Pradesh,Attempt to Commit Murder,2249
Arunachal Pradesh,Attempt to Commit Murder,36
Assam,Attempt to Commit Murder,579
Bihar,Attempt to Commit Murder,3889
Chhattisgarh,Attempt to Commit Murder,647
Goa,Attempt to Commit Murder,48
Gujarat,Attempt to Commit Murder,603
Haryana,Attempt to Commit Murder,781
Himachal Pradesh,Attempt to Commit Murder,70
Jammu & Kashmir,Attempt to Commit Murder,510
Jharkhand,Attempt to Commit Murder,774
Karnataka,Attempt to Commit Murder,1984
Kerala,Attempt to Commit Murder,603
Madhya Pradesh,Attempt to Commit Murder,2360
Maharashtra,Attempt to Commit Murder,2428
Manipur,Attempt to Commit Murder,211
Meghalaya,Attempt to Commit Murder,111
Mizoram,Attempt to Commit Murder,19
Nagaland,Attempt to Commit Murder,63
Odisha,Attempt to Commit Murder,2173
Punjab,Attempt to Commit Murder,923
Rajasthan,Attempt to Commit Murder,1662
Sikkim,Attempt to Commit Murder,12
Tamil Nadu,Attempt to Commit Murder,3007
Tripura,Attempt to Commit Murder,59
Uttar Pradesh,Attempt to Commit Murder,5259
Uttarakhand,Attempt to Commit Murder,181
West Bengal,Attempt to Commit Murder,3523
Total (State),Attempt to Commit Murder,34764
A&N Islands,Attempt to Commit Murder,4
Chandigarh,Attempt to Commit Murder,50
D&N Haveli,Attempt to Commit Murder,2
Daman & Diu,Attempt to Commit Murder,1
Delhi UT,Attempt to Commit Murder,585
Lakshadweep,Attempt to Commit Murder,0
Puducherry,Attempt to Commit Murder,11
Total (UTs),Attempt to Commit Murder,653
Total (All-India),Attempt to Commit Murder,35417
Andhra Pradesh,Burglary,9820
Arunachal Pradesh,Burglary,196
Assam,Burglary,4291
Bihar,Burglary,4185
Chhattisgarh,Burglary,3527
Goa,Burglary,385
Gujarat,Burglary,4980
Haryana,Burglary,6121
Himachal Pradesh,Burglary,932
Jammu & Kashmir,Burglary,1387
Jharkhand,Burglary,1339
Karnataka,Burglary,6003
Kerala,Burglary,2929
Madhya Pradesh,Burglary,11007
Maharashtra,Burglary,18328
Manipur,Burglary,85
Meghalaya,Burglary,187
Mizoram,Burglary,374
Nagaland,Burglary,36
Odisha,Burglary,3747
Punjab,Burglary,2707
Rajasthan,Burglary,5783
Sikkim,Burglary,85
Tamil Nadu,Burglary,5125
Tripura,Burglary,223
Uttar Pradesh,Burglary,6683
Uttarakhand,Burglary,248
West Bengal,Burglary,440
Total (State),Burglary,101153
A&N Islands,Burglary,42
Chandigarh,Burglary,258
D&N Haveli,Burglary,21
Daman & Diu,Burglary,19
Delhi UT,Burglary,2835
Lakshadweep,Burglary,2
Puducherry,Burglary,71
Total (UTs),Burglary,3248
Total (All-India),Burglary,104401
Andhra Pradesh,C H Not amounting to Murder,170
Arunachal Pradesh,C H Not amounting to Murder,3
Assam,C H Not amounting to Murder,54
Bihar,C H Not amounting to Murder,259
Chhattisgarh,C H Not amounting to Murder,24
Goa,C H Not amounting to Murder,2
